datetime,open,high,low,close,volume
4/13/2026,130.23,134.41991,129.14999,132.37,65288149
4/10/2026,128.48,129.2,122.68,128.059998,116656800
4/9/2026,139.395,139.53999,128.47,130.49001,92361400
4/8/2026,154.765,156.28,139.17,140.75999,64827700
4/7/2026,146.882,150.27,144.45,150.070007,28671100
4/6/2026,148.36,150.61,146.631,147.92999,25142200
4/2/2026,143.485,148.50999,137.99001,148.46001,30437000
4/1/2026,147,148.3,144.47,146.49001,34171000
3/31/2026,140.020004,147.86,138.97,146.28,45558600
3/30/2026,143.27,144.12,136.3,137.55,41289800
3/27/2026,145.88,145.96001,141.56,143.059998,35790800
3/26/2026,153.054993,153.12,147.25,147.56,43038400
3/25/2026,157.42,160.27,154.855,154.96001,38543300
3/24/2026,160.070007,162.39999,151.64,154.78,56155700
3/23/2026,153.24001,161.080002,153.24001,160.84,57507100
3/20/2026,155.2,156.64999,149.089996,150.67999,48700200
3/19/2026,153.10001,156.14999,150.5,155.67999,33915900
3/18/2026,154.94501,156.69,152.61,152.77,32476700
3/17/2026,152.405,156.75,152.12,155.080002,37118500
3/16/2026,152.45,153.86,151.17,152.72,32898900
3/13/2026,153.3,154.56,148.58,150.95,42460600
3/12/2026,153.0099945,155.88,150.98,153.5,54409800
3/11/2026,151.38,153.16901,149.33,151.60001,33955900
3/10/2026,155.99001,156.657,150.14,151.14,47501400
3/9/2026,155.69,158.44,152.97,156.42999,47574200
3/6/2026,150.44,161.45,150.28999,157.16,74980900
3/5/2026,152.94,156.38,149.61,152.67,50714500
3/4/2026,148.42999,154.52,148.059998,153.19,60062200
3/3/2026,142.10001,147.5,138.2,147.22,67460200
3/2/2026,140.77499,147.14,140.52,145.17,72683900
2/27/2026,134.070007,138.10001,133.98,137.19,59412400
2/26/2026,133.845,137.50999,132.63,135.94,45100000
2/25/2026,130.61,136.089996,129.17999,134.19,53078300
2/24/2026,129.0050049,130.24001,126.37,128.84,47121400
2/23/2026,132.039993,132.039993,127.39,130.60001,52512200
2/20/2026,132.36501,136.21001,131.17,135.24001,53726800
2/19/2026,132.31,136.16,131.0099945,134.89,42197200
2/18/2026,135.89,140.963,134.87,135.38,59677100
2/17/2026,128.895,134.32001,127.29,133.020004,48407100
2/13/2026,127.9,133.56,126.233,131.41,49438100
2/12/2026,135.36,135.89,126.56,129.13,74090600
2/11/2026,139.024994,139.25,132.95,135.67999,52796100
2/10/2026,144.965,145.56,137.77,139.50999,56061300
2/9/2026,136.58,145.87,134.776,142.91,58042500
2/6/2026,135.33,137.687,132.35001,135.89999,62661400
2/5/2026,136.82001,137.98,128.32001,130.0099945,93690800
2/4/2026,155.41,155.85001,135.67999,139.53999,113199500
2/3/2026,165.050003,165.078003,153.12,157.88,113169200
2/2/2026,150.94,151.39999,146.65401,147.75999,72811100
1/30/2026,150.050003,151,145.13901,146.59,47271000
1/29/2026,157.63,157.63,147.12,151.86,59846800
1/28/2026,164.39999,165.044998,157.24001,157.35001,44822800
1/27/2026,167.48,169.44,164.69,165.7,26542300
1/26/2026,168.21001,170.59,167.325,167.47,22777200
1/23/2026,167.27,172,166.3,169.60001,30285700
1/22/2026,168.925,169,164.95,165.89999,28499500
1/21/2026,168.40199,169.49001,161.11,165.33,47851200
1/20/2026,167.625,171.97,166.24001,168.53,36708500
1/16/2026,179.36,182.42999,170.0099945,170.96001,59483600
1/15/2026,178.71001,180.60001,176.53,177.070007,31109200
1/14/2026,178.125,181.59801,173.95,178.39999,33651400
1/13/2026,178.875,181.10001,176.14,178.96001,27769400
